"Horodateur","age","mmi_familiarity","mmi_experience","oo_experience","typed_experience","csharp_experience","sus_1","sus_2","sus_3","sus_4","sus_5","sus_6","sus_7","sus_8","sus_9","sus_10","final_comment"
"2023/11/23 9:08:37 AM UTC+1","21 to 25","2","2","4","5","4","4","2","5","1","4","1","5","1","5","2","The system was easy to use with a few examples and a good knowledge of C#."
"2023/11/23 9:15:39 AM UTC+1","21 to 25","2","2","5","5","4","3","2","4","1","5","1","3","1","4","2","J'ai trouvé le système assez simple à utiliser. L'idée d'utiliser des annotations est un bon concept. Il aurait été intéressant d'en connaitre les limites. J'ai par exemple essayé pour ""Open the menu"", d'avoir une List<Item> en paramètres et l'action n'a pas été reconnue. J'ai utilisé la List car je pensais que la méthode devait recevoir les items pour ouvrir le menu. J'ai compris en testant (l'action n'était pas reconnue) que les listes n'étaient pas reconnues et que la méthode n'était utile que pour ouvrir le menu.

Même si le système n'est qu'en phase de conception, il aurait été intéressant de disposer de messages d'informations / erreurs afin de prévenir l'utilisateur quand quelque chose n'est pas reconnu.

Le seul point dommageable est le fait de devoir redéfinir la méthode Start de l'interface MMInterface. Ne serait-il pas possible de scanner directement les annotations directement définies dans la classe qui implémente MMInterface ?

Sinon, je trouve le projet assez intéressant !"
"2023/11/23 9:19:08 AM UTC+1","21 to 25","1","1","3","4","3","2","1","5","1","4","1","4","1","4","2","I felt confident using the system as it was really user-friendly, it would be easy to build a system using it."
"2023/11/23 9:21:07 AM UTC+1","21 to 25","2","1","4","4","3","2","2","4","2","5","2","4","1","4","2","Le système était assez intuitif à utiliser, je n'ai pas ressenti de frustration lors de l'utilisation de celui-ci.

Celui-ci était assez facile à utiliser, premièrement dû à mon expérience en C# mais également dû à la transparence et la clareté du ""tutoriel""."
"2023/11/23 9:24:42 AM UTC+1","26 to 30","2","2","4","4","1","3","1","5","1","4","1","5","1","4","1","Really easy to understand and use. Almost a ""common language"", no development skill required. I can just use a template for the syntax and focus on what matter : the features"
"2023/11/23 9:25:45 AM UTC+1","21 to 25","2","2","4","4","3","3","2","4","3","4","2","3","2","3","2","J'ai trouvé le système facile à utiliser pour un développeur ayant déjà une certaine expérience avec l'utilisation de librairie externe. Il n'y a pas beaucoup de ""boilerplates"" ou de chose à mettre en place, le système d'interface et d'annotation est bien pensé.

Le seul point qui reste un peu confus pour moi est comment Ummi fait le lien entre l'argument et le mot qui lui est lié dans la phrase orale. Ne sachant pas j'ai considéré qu'il fallait que le mot qui identifie l'objet ou tout autre chose devait avoir le même nom que le paramètre utilisé dans la méthode. Exemple : ""move item there"" --> il faut obligatoirement un paramètre nommé 'item' et un paramètre 'there'"
"2023/11/23 9:26:51 AM UTC+1","21 to 25","2","2","3","3","2","4","1","4","2","5","2","4","1","4","2","Ici nous avons définit les signatures des fonctions, en mettant en paramètres les objets que nous allions utiliser. Je pense que c'est une bonne chose de spécifier directement dans la signature de la fonction l'environnement que l'on utilise. Cela permet de comprendre clairement ce que l'on veut utiliser. Par exemple avec le type Vector3 je pense comprendre que l'on parle d'un environnement 3D."
"2023/11/23 9:32:59 AM UTC+1","21 to 25","4","4","5","5","5","1","5","1","5","1","1","1","5","1","1","If I understood correcly, it's a auto event register kind of system. Not really useful in my opinion since it actually complicate the system more than anything else. Having to specifically give types you want to be accepted in signatures is also not intuitive at all. When  I had to make the experiment, I was pretty angry about the fact that I got asked to make signatures and even trying to make them was a pain. So, in conclusion, I'd say that it's not a great system even though I understand how it could improve the workflow by removing some boiler plates and driving the developpers through a strict usable environment."
"2023/11/23 9:38:21 AM UTC+1","21 to 25","3","1","4","4","2","2","4","2","4","2","4","2","4","2","1","Tout d'abord le problème vient surtout de la consigne, elles sont floues. En effet, on ne sait pas ce qui est vraiment attendu de nous. Ensuite passons au ""développement"", en tant qu'étudiant en programmation, on pense vite aux choses dont nous aurons besoin tel qu'une liste d'item nécessaire pour l'implémentation du menu. Cependant, lorsqu'on run avec d'autre type en paramètre que les types développés par notre ""collègue"" (sort, item, vector), l'enregistrement de la fonction échoue.  En conclusion, plus de contexte et des informations plus précise sur ce qui est attendu, voir une expérience plus poussée serait préférable et donnerait plus de résultat probant."
"2023/11/23 9:45:19 AM UTC+1","21 to 25","1","1","3","4","1","4","1","3","3","5","1","5","1","1","2","The system seems easy to use but I'm very unfamiliar with C# and multimodal interface. Thus, I think that I need a bit more time/documentation to understand and feel more confident about the system. 
I think that I'd like to use this system frequently if I used multimodal interface."
"2023/11/23 9:50:26 AM UTC+1","21 to 25","2","1","4","5","4","5","1","5","1","5","1","5","1","5","2","easy to use"
"2023/11/23 10:01:23 AM UTC+1","21 to 25","2","1","3","3","1","3","1","3","1","4","3","4","4","4","1","Je trouve que le produit est très facilement utilisable et compréhensible. Cependant, j'ai eu un peu de mal à comprendre le mécanisme d'instanciation des arguments. Comment le framework gère les arguments. 
Dans l'ensemble, je trouve que le produit est prometteur. "
